"","SimUID","Field2","Field3","Field4","Field5","Field6","OID_1","Field1_1","concatenat","x","y","SG2020_mean","GCAM_mean","HWSD_mean","FAO_mean","SG2017_mean","minSC_mean","maxSC_mean","mean_mean","rangeSC_mean"
"1",32,"USA","CR116086","Alti1_0","Slp1_0","Soil1_Sandy",68868,"LU03810","USACR116086Slp1_0",-122.041689614,47.1249450439,63.6046104431152,85.5026550292969,154.665069580078,88.0835876464844,141.515960693359,63.6046104431152,154.665069580078,106.674376678467,91.0604591369629
"2",33,"USA","CR117083","Alti1_0","Slp1_0","Soil1_Sandy",62958,"LU03631","USACR117083Slp1_0",-121.916689614,48.5416115452,64.580192565918,93.643196105957,153.388305664062,57.6164016723633,174.005279541016,57.6164016723633,174.005279541016,108.646675109863,116.388877868652
"3",34,"USA","CR117085","Alti1_0","Slp1_0","Soil1_Sandy",68998,"LU03811","USACR117085Slp1_0",-121.815499624,47.7082776873,67.0727844238281,89.9394989013672,154.350372314453,86.8564834594727,156.32194519043,67.0727844238281,156.32194519043,110.90821685791,89.2491607666016
"4",35,"USA","CR117086","Alti1_0","Slp1_0","Soil1_Sandy",68999,"LU03811","USACR117086Slp1_0",-121.958356614,47.291612044,66.4467926025391,87.9059829711914,155.959228515625,84.7512741088867,146.364868164062,66.4467926025391,155.959228515625,108.285629272461,89.5124359130859
"5",36,"USA","CR118089","Alti1_0","Slp1_0","Soil1_Sandy",74830,"LU03991","USACR118089Slp1_0",-121.083356613,45.6249455425,27.073694229126,56.8540191650391,155.755798339844,31.8600387573242,60.8959083557129,27.073694229126,155.755798339844,66.4878917694092,128.682104110718
"6",37,"USA","CR119089","Alti1_0","Slp1_0","Soil1_Sandy",74831,"LU03991","USACR119089Slp1_0",-120.958356613,45.6249455425,27.4081077575684,64.3654022216797,155.982894897461,33.9445915222168,56.586051940918,27.4081077575684,155.982894897461,67.6574096679688,128.574787139893
"7",157,"USA","CR175089","Alti1_0","Slp1_0","Soil1_Sandy",75867,"LU04005","USACR175089Slp1_0",-92.6131304026,45.898755553,44.5342407226562,63.1167106628418,90.5623321533203,90.7776412963867,109.998809814453,44.5342407226562,109.998809814453,79.7979469299316,65.4645690917969
"8",158,"USA","CR176088","Alti1_0","Slp1_0","Soil1_Sandy",69821,"LU03825","USACR176088Slp1_0",-92.375035086,46.0416125429,50.1823539733887,67.6315078735352,98.3220901489258,81.4921722412109,100.28995513916,50.1823539733887,100.28995513916,79.5836158752441,50.1076011657715
"9",159,"USA","CR176089","Alti1_0","Slp1_0","Soil1_Sandy",75868,"LU04005","USACR176089Slp1_0",-92.4167015861,45.9166125428,39.9240531921387,66.5771408081055,98.3220977783203,55.2906303405762,96.2918853759766,39.9240531921387,98.3220977783203,71.2811614990234,58.3980445861816
"10",162,"USA","CR178087","Alti1_0","Slp1_0","Soil1_Sandy",69851,"LU03826","USACR178087Slp1_0",-91.0833690848,46.5416120433,49.7554130554199,68.1204223632812,87.5954437255859,42.5961074829102,93.8554458618164,42.5961074829102,93.8554458618164,68.3845664978027,51.2593383789062
"11",163,"USA","CR178088","Alti1_0","Slp1_0","Soil1_Sandy",69852,"LU03826","USACR178088Slp1_0",-91.0833690848,46.4166120432,51.3027305603027,68.9627151489258,109.344711303711,75.3966522216797,102.731971740723,51.3027305603027,109.344711303711,81.5477561950684,58.0419807434082
"12",166,"USA","CR179087","Alti1_0","Slp1_0","Soil1_Sandy",69853,"LU03826","USACR179087Slp1_0",-90.9167023347,46.7499452935,41.7743453979492,69.1989822387695,97.0821838378906,38.2018585205078,98.2119369506836,38.2018585205078,98.2119369506836,68.8938613891602,60.0100784301758
"13",169,"USA","CR180087","Alti1_0","Slp1_0","Soil1_Sandy",69854,"LU03826","USACR180087Slp1_0",-90.4583690842,46.5416120433,54.4598655700684,69.0962142944336,114.24299621582,39.1728172302246,106.100273132324,39.1728172302246,114.24299621582,76.6144332885742,75.0701789855957
"14",172,"USA","CR181085","Alti1_0","Slp1_0","Soil1_Sandy",69888,"LU03827","USACR181085Slp1_0",-89.7083695835,47.9582780447,49.638256072998,69.9891815185547,77.2126007080078,32.6866722106934,138.832275390625,32.6866722106934,138.832275390625,73.6717971801758,106.145603179932
"15",177,"USA","CR182085","Alti1_0","Slp1_0","Soil1_Sandy",69889,"LU03827","USACR182085Slp1_0",-89.069480583,47.9027227113,44.5371208190918,76.7296447753906,134.073593139648,179.322799682617,180.372573852539,44.5371208190918,180.372573852539,123.007146453857,135.835453033447
"16",187,"USA","CR183084","Alti1_0","Slp1_0","Soil1_Sandy",63727,"LU03647","USACR183084Slp1_0",-88.6667035826,48.0624447323,38.9260292053223,76.6676483154297,134.073593139648,157.627777099609,184.401641845703,38.9260292053223,184.401641845703,118.339337921143,145.475612640381
"17",188,"USA","CR183085","Alti1_0","Slp1_0","Soil1_Sandy",69890,"LU03827","USACR183085Slp1_0",-88.930591805,47.9305004335,40.3115196228027,76.7315826416016,134.073593139648,171.46630859375,163.92170715332,40.3115196228027,171.46630859375,117.300942230225,131.154788970947
"18",189,"USA","CR183086","Alti1_0","Slp1_0","Soil1_Sandy",69891,"LU03827","USACR183086Slp1_0",-88.6111478325,47.1110562105,42.405590057373,67.6868133544922,120.45938873291,88.9555969238281,123.490295410156,42.405590057373,123.490295410156,88.599536895752,81.0847053527832
"19",190,"USA","CR183087","Alti1_0","Slp1_0","Soil1_Sandy",69892,"LU03827","USACR183087Slp1_0",-88.6417033426,46.8916118037,46.9493026733398,68.9097518920898,110.464942932129,86.6321716308594,124.523010253906,46.9493026733398,124.523010253906,87.4958358764648,77.5737075805664
"20",191,"USA","CR183090","Alti1_0","Slp1_0","Soil1_Sandy",75946,"LU04007","USACR183090Slp1_0",-88.5417035825,45.0416125419,33.8052101135254,70.050178527832,114.242988586426,90.6296997070312,102.24097442627,33.8052101135254,114.242988586426,82.1938102722168,80.4377784729004
"21",192,"USA","CR183091","Alti1_0","Slp1_0","Soil1_Sandy",75947,"LU04007","USACR183091Slp1_0",-88.6354536919,44.8957792606,34.0916061401367,67.0622787475586,106.869918823242,96.9397964477539,108.725921630859,34.0916061401367,108.725921630859,82.7379043579102,74.6343154907227
"22",199,"USA","CR184086","Alti1_0","Slp1_0","Soil1_Sandy",69893,"LU03827","USACR184086Slp1_0",-88.2797987251,47.2201830083,45.0574798583984,73.5454940795898,125.538368225098,104.839904785156,137.426025390625,45.0574798583984,137.426025390625,97.2814544677734,92.3685455322266
"23",200,"USA","CR184087","Alti1_0","Slp1_0","Soil1_Sandy",69894,"LU03827","USACR184087Slp1_0",-88.2500373322,46.8749454603,45.833610534668,68.6990661621094,102.163436889648,91.5118026733398,132.239471435547,45.833610534668,132.239471435547,88.0894775390625,86.4058609008789
"24",201,"USA","CR184089","Alti1_0","Slp1_0","Soil1_Sandy",75948,"LU04007","USACR184089Slp1_0",-88.041703582,45.5416125424,34.7299156188965,69.4585800170898,98.3220977783203,65.8219604492188,107.38850402832,34.7299156188965,107.38850402832,75.1442115783691,72.6585884094238
"25",202,"USA","CR184090","Alti1_0","Slp1_0","Soil1_Sandy",75949,"LU04007","USACR184090Slp1_0",-88.2048981881,45.1839735542,39.0960426330566,67.2049331665039,106.571083068848,82.4153366088867,119.324432373047,39.0960426330566,119.324432373047,82.9223655700684,80.2283897399902
"26",203,"USA","CR184091","Alti1_0","Slp1_0","Soil1_Sandy",75950,"LU04007","USACR184091Slp1_0",-88.2953267023,44.8061054132,46.3251571655273,60.5326805114746,111.711318969727,75.4905853271484,120.388046264648,46.3251571655273,120.388046264648,82.8895576477051,74.0628890991211
"27",210,"USA","CR185086","Alti1_0","Slp1_0","Soil1_Sandy",69918,"LU03828","USACR185086Slp1_0",-87.9583700819,47.3749450441,37.1697654724121,76.2516937255859,134.073577880859,120.263809204102,162.146850585938,37.1697654724121,162.146850585938,105.981139373779,124.977085113525
"28",211,"USA","CR185087","Alti1_0","Slp1_0","Soil1_Sandy",69919,"LU03828","USACR185087Slp1_0",-87.7083708317,46.7499457935,40.6236419677734,69.8986587524414,89.5512313842773,75.4316329956055,135.65576171875,40.6236419677734,135.65576171875,82.2321853637695,95.0321197509766
"29",212,"USA","CR185089","Alti1_0","Slp1_0","Soil1_Sandy",75976,"LU04008","USACR185089Slp1_0",-87.7375368817,45.6457791425,37.9832649230957,68.817741394043,108.002326965332,123.092277526855,105.875511169434,37.9832649230957,123.092277526855,88.7542243957519,85.1090126037598
"30",213,"USA","CR185090","Alti1_0","Slp1_0","Soil1_Sandy",75977,"LU04008","USACR185090Slp1_0",-87.7664512232,45.2663601836,42.2032203674316,66.8211669921875,110.187240600586,123.141647338867,129.261093139648,42.2032203674316,129.261093139648,94.3228736877441,87.0578727722168
"31",214,"USA","CR185091","Alti1_0","Slp1_0","Soil1_Sandy",75978,"LU04008","USACR185091Slp1_0",-87.8917038219,44.9249458618,49.1888275146484,62.3806686401367,111.976440429688,94.6995239257812,150.527099609375,49.1888275146484,150.527099609375,93.7545120239258,101.338272094727
"32",221,"USA","CR186088","Alti1_0","Slp1_0","Soil1_Sandy",69920,"LU03828","USACR186088Slp1_0",-87.1771205499,46.3749455432,38.0879173278809,69.2419815063477,100.094749450684,115.097328186035,134.080429077148,38.0879173278809,134.080429077148,91.3204811096191,95.9925117492676
