UN,NAME,AREA,POP2005,REGION,SUBREGION,LON,LAT,WHD_Mean,WHD_Median,HWSD_Mean,HWSD_Median,SG17_Mean,SG17_Median,SG20_Mean,SG20_Median,FAO_Mean,FAO_Median,max_mean,min_mean,range_mean,mean_mean,range_mean_ratio,max_median,min_median,range_median,mean_median,range_median_ratio
28,Antigua and Barbuda,44,83039,19,29,-61.783,17.078,65.18051147,65.12577516,101.0838394,93.39985726,89.56663513,84.94202214,48.37680817,52.60502947,59.31139755,59.16583969,101.0838394,48.37680817,52.70703125,72.70383835,0.724955277,93.39985726,52.60502947,40.79482779,71.04770474,0.574189243
12,Algeria,238174,32854159,2,15,2.632,28.163,27.59062767,25.26520247,33.01352692,23.27943551,13.69423771,9.999999695,12.29473972,10.49305384,15.70935917,12.52827951,33.01352692,12.29473972,20.71878719,20.46049824,1.012623786,25.26520247,9.999999695,15.26520278,16.31319421,0.935758049
31,Azerbaijan,8260,8352021,142,145,47.395,40.43,53.43730164,45.10186329,46.65792465,36.54899869,73.99544525,64.01548143,42.40093231,40.8486027,54.04296494,43.22736195,73.99544525,42.40093231,31.59451294,54.10691376,0.583927464,64.01548143,36.54899869,27.46648273,45.94846161,0.597767189
8,Albania,2740,3153731,150,39,20.068,41.143,51.95547485,48.54196235,46.93966293,42.54579043,100.6503983,91.76693148,50.39630508,49.44555014,63.31753159,60.3430342,100.6503983,46.93966293,53.71073532,62.65187454,0.85728856,91.76693148,42.54579043,49.22114106,58.52865372,0.840975111
51,Armenia,2820,3017661,142,145,44.563,40.534,51.65351105,45.10186353,59.39176559,66.95998429,102.4821472,107.0754303,48.23405838,52.57049066,120.5756149,121.7809522,120.5756149,48.23405838,72.34155655,76.46741943,0.946044173,121.7809522,45.10186353,76.67908867,78.6977442,0.974349258
24,Angola,124670,16095214,2,17,17.544,-12.296,47.94312286,48.61233817,27.21933746,19.60800032,43.85488892,43.88069867,22.4350071,21.59189726,34.2860527,33.56243314,47.94312286,22.4350071,25.50811577,35.14768181,0.725741058,48.61233817,19.60800032,29.00433785,33.45107351,0.867067475
32,Argentina,273669,38747148,19,5,-65.167,-35.377,44.41213608,42.77917768,49.06439972,27.39000606,60.64143372,54.76406925,34.75773239,31.52469361,50.60611725,47.58480063,60.64143372,34.75773239,25.88370132,47.89636383,0.540410571,54.76406925,27.39000606,27.37406319,40.80854945,0.67079236
36,Australia,768230,20310208,9,53,136.189,-24.973,41.19698334,39.18581463,27.78183556,21.00000326,31.61998558,24.93617227,18.60569954,15.58266406,29.33797646,23.31883766,41.19698334,18.60569954,22.5912838,29.70849609,0.760431754,39.18581463,15.58266406,23.60315057,24.80469838,0.951559669
48,Bahrain,71,724788,142,145,50.562,26.019,16.6376133,18.70650272,15.64799881,15.64799976,10.08377838,9.308082386,6.94088459,7.730942137,9.966585159,9.504056682,16.6376133,6.94088459,9.696728706,11.85537205,0.817918549,18.70650272,7.730942137,10.97556059,12.17951674,0.901149103
52,Barbados,43,291933,19,29,-59.559,13.153,48.36945343,42.97009203,57.25365829,49.3456644,77.79096222,77.6224588,54.76766205,55.90926403,62.72888947,62.53900393,77.79096222,48.36945343,29.42150879,60.18212509,0.488874541,77.6224588,42.97009203,34.65236677,57.67729664,0.600797347
44,Bahamas,1001,323295,19,29,-78.014,24.628,44.21813583,47.18097274,17.49352455,15.61862342,202.8853607,203.2084572,51.0772438,55.15261562,6.005606651,4.554083863,202.8853607,6.005606651,196.8797541,64.33597431,3.060181433,203.2084572,4.554083863,198.6543733,65.14295057,3.049514515
50,Bangladesh,13017,15328112,142,34,89.941,24.218,48.11439514,48.40795856,46.19158173,43.33499678,70.98046875,65.80982125,33.70824432,34.78684138,45.43702316,42.63200591,70.98046875,33.70824432,37.27222443,48.88634262,0.762426118,65.80982125,34.78684138,31.02297987,46.99432478,0.660143114
